X,Y,month,day,FFMC_YJ,DMC_YJ,DC_YJ,ISI_YJ,temp_YJ,RH_YJ,wind_YJ,rain_YJ,area
7,5,mar,fri,6.915111075592644e+23,11.210981384626042,510.7982502045371,2.6514785110886216,12.896172120672318,3.546170771445676,2.9192044696012833,-0.0,0.0
7,4,oct,tue,1.302163928670706e+24,13.802503500150086,8655.255527380863,3.15408913301693,34.18542122502334,3.201249323491328,0.7153401251655416,-0.0,0.0
7,4,oct,sat,1.302163928670706e+24,15.939222635406372,8990.709234457565,3.15408913301693,26.30898167958807,3.201249323491328,0.9594084776874938,-0.0,0.0
8,6,mar,fri,1.5181648497797294e+24,13.234439367952819,385.3978116282771,3.776616614744302,13.088851080168252,4.045678877775094,2.127207396074414,0.010535368176128226,0.0
8,6,mar,sun,1.0835622804339558e+24,17.77073762672189,573.4226934910221,3.9244869600522003,19.345114299721235,4.061314313556743,1.2274046320367087,-0.0,0.0
8,6,aug,sun,1.6494633484060878e+24,24.992495867634215,5480.409492802122,5.016374412882001,44.501638163833526,3.098073175323486,2.5660743395766525,-0.0,0.0
8,6,aug,mon,1.6494633484060878e+24,25.689154760477898,5604.38778233926,3.649266052305128,49.35941313466844,3.040891373606746,1.7995646395503064,-0.0,0.0
8,6,aug,mon,1.4765874960127723e+24,35.55479124440552,7538.0912999599095,4.1830396409246715,12.512668373783457,3.953176838551715,1.4195555028702762,-0.0,0.0
8,6,sep,tue,1.3771947944292344e+24,32.94730266253764,9098.963626748771,3.2411195383145692,22.986233763127437,3.711782950708113,2.5660743395766525,-0.0,0.0
7,5,sep,sat,1.6955051755425009e+24,25.515964341014538,9213.34918180677,3.2696931098345243,46.02345547958143,3.354235949007914,2.127207396074414,-0.0,0.0
7,5,sep,sat,1.6955051755425009e+24,25.515964341014538,9213.34918180677,3.2696931098345243,33.70970074265726,3.546170771445676,3.0443720057777894,-0.0,0.0
7,5,sep,sat,1.766794043225918e+24,22.568349950542,9489.676441069896,6.345806074047417,37.31316941727758,3.3135243735595687,2.127207396074414,-0.0,0.0
6,5,aug,fri,1.4325418171102176e+22,22.070763098172133,8584.15652822602,0.6625093104587768,31.821829763651895,3.8157392537173407,2.9192044696012833,-0.0,0.0
6,5,sep,mon,1.3580722523299142e+24,32.442534740689446,8983.127553046928,3.2411195383145692,42.24065452147869,3.392902701992548,1.4195555028702762,-0.0,0.0
